,Iteration,cv_mean_cost,class_weight,criterion,fill_na,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,sampling
hyperopt,1,10090.0,balanced,log_loss,-1,,sqrt,190.59676871695225,278.4367323376805,174.45430783134137,
sklearn,1,10090.0,balanced,log_loss,-1,,sqrt,190.0,174.0,174.0,
hyperopt,2,10160.0,balanced_subsample,log_loss,0,992.0,,106.77352687829011,379.2930740601847,345.17199936470007,
sklearn,2,10160.0,balanced_subsample,log_loss,0,992.0,,106.0,345.0,345.0,
hyperopt,3,10638.0,balanced_subsample,entropy,most_frequent,106.0,,445.517985782715,444.4908615132643,437.96179469760034,
sklearn,3,10638.0,balanced_subsample,entropy,most_frequent,106.0,,445.0,437.0,437.0,
hyperopt,4,14808.0,,entropy,-1,,,446.80773330956515,130.9660725116478,401.0191080989069,smote
sklearn,4,14808.0,,entropy,-1,,,446.0,401.0,401.0,smote
hyperopt,5,10514.0,balanced,entropy,0,232.0,sqrt,,392.0559575372992,299.29766147499464,smote
sklearn,5,10514.0,balanced,entropy,0,232.0,sqrt,,299.0,299.0,smote
hyperopt,6,11852.0,balanced_subsample,gini,-10000,942.0,sqrt,497.8901674982757,7.215646806601131,441.6911135428119,
sklearn,6,11852.0,balanced_subsample,gini,-10000,942.0,sqrt,497.0,441.0,441.0,
hyperopt,7,10928.0,,gini,-1,328.0,log2,395.8071976055932,181.10253814173987,214.5289678895451,smote
sklearn,7,10928.0,,gini,-1,328.0,log2,395.0,214.0,214.0,smote
hyperopt,8,94820.0,,gini,most_frequent,,sqrt,,326.87534310323315,331.138578325775,
sklearn,8,94820.0,,gini,most_frequent,,sqrt,,331.0,331.0,
hyperopt,9,11652.0,balanced_subsample,log_loss,-10000,,log2,430.9699264016907,227.96467408660058,302.30199088961126,
sklearn,9,11652.0,balanced_subsample,log_loss,-10000,,log2,430.0,302.0,302.0,
hyperopt,10,10212.0,,gini,0,256.0,sqrt,106.10310645122097,353.18927219541433,275.0114610814709,smote
sklearn,10,10212.0,,gini,0,256.0,sqrt,106.0,275.0,275.0,smote
hyperopt,11,10886.0,balanced_subsample,entropy,-10000,614.0,sqrt,133.62882382414162,111.91088267896724,245.853504763186,
sklearn,11,10886.0,balanced_subsample,entropy,-10000,614.0,sqrt,133.0,245.0,245.0,
hyperopt,12,11826.0,balanced_subsample,log_loss,0,,sqrt,235.1302659232997,280.9013911704353,457.3187539439407,
sklearn,12,11826.0,balanced_subsample,log_loss,0,,sqrt,235.0,457.0,457.0,
hyperopt,13,14238.0,,entropy,most_frequent,542.0,,,258.40188892848596,486.84294315155836,smote
sklearn,13,14238.0,,entropy,most_frequent,542.0,,,486.0,486.0,smote
hyperopt,14,11390.0,balanced,gini,-10000,,log2,405.81636634893357,184.93826391551002,276.5642173959132,
sklearn,14,11390.0,balanced,gini,-10000,,log2,405.0,276.0,276.0,
hyperopt,15,11156.0,balanced,entropy,-1,,log2,,152.84231188452065,436.63626011705867,smote
sklearn,15,11156.0,balanced,entropy,-1,,log2,,436.0,436.0,smote
hyperopt,16,10728.0,balanced,entropy,-1,406.0,sqrt,,232.37114181602675,365.6657943745758,smote
sklearn,16,10728.0,balanced,entropy,-1,406.0,sqrt,,365.0,365.0,smote
hyperopt,17,9632.0,balanced,entropy,-10000,286.0,sqrt,114.45338004601724,464.7624911131799,59.84844429415247,smote
sklearn,17,9632.0,balanced,entropy,-10000,286.0,sqrt,114.0,59.0,59.0,smote
hyperopt,18,11286.0,,gini,0,,log2,232.4091773512369,496.6449544372292,335.72612352199167,smote
sklearn,18,11286.0,,gini,0,,log2,232.0,335.0,335.0,smote
hyperopt,19,11508.0,balanced_subsample,entropy,most_frequent,,sqrt,392.5532217381446,323.23456395521583,422.81082265113344,
sklearn,19,11508.0,balanced_subsample,entropy,most_frequent,,sqrt,392.0,422.0,422.0,
hyperopt,20,10590.0,balanced_subsample,gini,-10000,,sqrt,,164.00451203396946,248.63421817956157,smote
sklearn,20,10590.0,balanced_subsample,gini,-10000,,sqrt,,248.0,248.0,smote
hyperopt,21,9718.0,balanced,log_loss,-1,,sqrt,200.22692476237464,490.6021121663515,94.92091589552352,smote
sklearn,21,9718.0,balanced,log_loss,-1,,sqrt,200.0,94.0,94.0,smote
hyperopt,22,9696.0,balanced,log_loss,-10000,764.0,sqrt,312.8038350040164,495.29880735499137,31.015934500926114,smote
sklearn,22,9696.0,balanced,log_loss,-10000,764.0,sqrt,312.0,31.0,31.0,smote
hyperopt,23,12832.0,balanced,log_loss,-10000,744.0,sqrt,319.88187656360515,426.6466310621102,2.8253744642991405,smote
sklearn,23,12832.0,balanced,log_loss,-10000,744.0,sqrt,319.0,2.0,2.0,smote
hyperopt,24,11306.0,balanced,log_loss,-10000,752.0,sqrt,311.6313844735528,459.30583425993854,10.027752435291191,smote
sklearn,24,11306.0,balanced,log_loss,-10000,752.0,sqrt,311.0,10.0,10.0,smote
hyperopt,25,9416.0,balanced,log_loss,-10000,50.0,sqrt,350.1361618234648,490.66689615470193,64.54127680621481,smote
sklearn,25,9416.0,balanced,log_loss,-10000,50.0,sqrt,350.0,64.0,64.0,smote
hyperopt,26,9694.0,balanced,entropy,-10000,38.0,sqrt,365.4780684512195,61.94394241389752,74.46297848577862,smote
sklearn,26,9694.0,balanced,entropy,-10000,38.0,sqrt,365.0,74.0,74.0,smote
hyperopt,27,13058.0,balanced,log_loss,-10000,114.0,,268.90685604450243,415.97146939191634,138.32592859731304,smote
sklearn,27,13058.0,balanced,log_loss,-10000,114.0,,268.0,138.0,138.0,smote
hyperopt,28,9512.0,balanced,entropy,-10000,14.0,sqrt,348.32873990408063,460.51890205380874,58.68260601025519,smote
sklearn,28,9512.0,balanced,entropy,-10000,14.0,sqrt,348.0,58.0,58.0,smote
hyperopt,29,10590.0,balanced,log_loss,-10000,4.0,sqrt,361.89461888299104,392.74073217479975,159.7323019384721,smote
sklearn,29,10590.0,balanced,log_loss,-10000,4.0,sqrt,361.0,159.0,159.0,smote
hyperopt,30,9914.0,balanced,log_loss,-10000,152.0,sqrt,,301.5688373553881,109.78399405838033,smote
sklearn,30,9914.0,balanced,log_loss,-10000,152.0,sqrt,,109.0,109.0,smote
hyperopt,31,13990.0,balanced,log_loss,-10000,18.0,,495.0479761146156,360.36211738117834,42.837548428844954,smote
sklearn,31,13990.0,balanced,log_loss,-10000,18.0,,495.0,42.0,42.0,smote
hyperopt,32,10414.0,balanced,entropy,most_frequent,424.0,log2,351.1178186204477,475.79175031256267,170.47386317445756,smote
sklearn,32,10414.0,balanced,entropy,most_frequent,424.0,log2,351.0,170.0,170.0,smote
hyperopt,33,13126.0,balanced,entropy,-10000,180.0,,267.78841934386384,429.6166820424967,209.83518057019865,smote
sklearn,33,13126.0,balanced,entropy,-10000,180.0,,267.0,209.0,209.0,smote
hyperopt,34,9418.0,balanced,log_loss,0,12.0,sqrt,338.03675759699985,404.8899171494449,111.79809122617483,smote
sklearn,34,9418.0,balanced,log_loss,0,12.0,sqrt,338.0,111.0,111.0,smote
hyperopt,35,13968.0,balanced,log_loss,0,362.0,,271.36445953773506,401.92670092572183,109.14317804793184,smote
sklearn,35,13968.0,balanced,log_loss,0,362.0,,271.0,109.0,109.0,smote
hyperopt,36,9968.0,balanced,log_loss,0,84.0,sqrt,,368.1807445490647,207.2378641449838,smote
sklearn,36,9968.0,balanced,log_loss,0,84.0,sqrt,,207.0,207.0,smote
hyperopt,37,9724.0,,log_loss,0,476.0,sqrt,472.55295331725165,338.11674702815986,141.6112250306897,smote
sklearn,37,9724.0,,log_loss,0,476.0,sqrt,472.0,141.0,141.0,smote
hyperopt,38,26914.0,balanced,log_loss,0,202.0,log2,333.3347106672148,444.58013006206755,3.4836126977096895,
sklearn,38,26914.0,balanced,log_loss,0,202.0,log2,333.0,3.0,3.0,
hyperopt,39,10098.0,,log_loss,0,644.0,sqrt,,299.2986920037749,190.54969975073132,smote
sklearn,39,10098.0,,log_loss,0,644.0,sqrt,,190.0,190.0,smote
hyperopt,40,9142.0,balanced_subsample,log_loss,0,926.0,,160.02443333483498,21.472890321167622,133.56709435734882,
sklearn,40,9142.0,balanced_subsample,log_loss,0,926.0,,160.0,133.0,133.0,
hyperopt,41,9370.0,balanced_subsample,log_loss,most_frequent,950.0,,145.0326132286677,29.59969649980928,139.58598275802535,
sklearn,41,9370.0,balanced_subsample,log_loss,most_frequent,950.0,,145.0,139.0,139.0,
hyperopt,42,10160.0,balanced_subsample,log_loss,most_frequent,970.0,,149.4960632029209,5.744837921820551,224.26622284849586,
sklearn,42,10160.0,balanced_subsample,log_loss,most_frequent,970.0,,149.0,224.0,224.0,
hyperopt,43,9954.0,balanced_subsample,gini,most_frequent,900.0,,160.46748144902293,37.726508593540544,132.73331027180134,
sklearn,43,9954.0,balanced_subsample,gini,most_frequent,900.0,,160.0,132.0,132.0,
hyperopt,44,10106.0,balanced_subsample,log_loss,most_frequent,828.0,,,90.16686028124809,296.6141468661987,
sklearn,44,10106.0,balanced_subsample,log_loss,most_frequent,828.0,,,296.0,296.0,
hyperopt,45,10424.0,balanced_subsample,log_loss,most_frequent,,,177.00182791771297,81.14948896302174,369.2043314663411,
sklearn,45,10424.0,balanced_subsample,log_loss,most_frequent,,,177.0,369.0,369.0,
hyperopt,46,10536.0,balanced_subsample,gini,most_frequent,906.0,,198.28588230211858,121.82139955849928,188.74914186942442,
sklearn,46,10536.0,balanced_subsample,gini,most_frequent,906.0,,198.0,188.0,188.0,
hyperopt,47,10366.0,balanced_subsample,log_loss,-1,,,,34.83866833474658,233.35289816787048,
sklearn,47,10366.0,balanced_subsample,log_loss,-1,,,,233.0,233.0,
hyperopt,48,10302.0,balanced_subsample,log_loss,most_frequent,834.0,,126.69961986844366,30.810300025179856,276.22562387214236,
sklearn,48,10302.0,balanced_subsample,log_loss,most_frequent,834.0,,126.0,276.0,276.0,
hyperopt,49,9714.0,balanced_subsample,gini,0,638.0,,221.77162046441757,201.5874984153042,83.80475026923801,
sklearn,49,9714.0,balanced_subsample,gini,0,638.0,,221.0,83.0,83.0,
hyperopt,50,11664.0,balanced_subsample,log_loss,-1,,,,138.22940344197679,28.394302893988343,
sklearn,50,11664.0,balanced_subsample,log_loss,-1,,,,28.0,28.0,
hyperopt,51,10396.0,balanced_subsample,gini,most_frequent,990.0,,180.97365606298106,94.67682978377499,183.78035382889763,
sklearn,51,10396.0,balanced_subsample,gini,most_frequent,990.0,,180.0,183.0,183.0,
hyperopt,52,10216.0,balanced_subsample,log_loss,0,,,147.7900644560297,61.01152791417971,311.57026193466186,
sklearn,52,10216.0,balanced_subsample,log_loss,0,,,147.0,311.0,311.0,
hyperopt,53,10738.0,balanced_subsample,log_loss,most_frequent,564.0,log2,109.25132867181927,213.79006297948422,157.99587633205462,
sklearn,53,10738.0,balanced_subsample,log_loss,most_frequent,564.0,log2,109.0,157.0,157.0,
hyperopt,54,65314.0,,log_loss,0,686.0,,,170.3682481588595,257.94101996509016,
sklearn,54,65314.0,,log_loss,0,686.0,,,257.0,257.0,
hyperopt,55,9966.0,balanced_subsample,gini,-1,,,214.2729160226964,14.79799033707325,129.1540314807326,
sklearn,55,9966.0,balanced_subsample,gini,-1,,,214.0,129.0,129.0,
hyperopt,56,10224.0,balanced_subsample,log_loss,most_frequent,844.0,log2,252.20026481961247,253.88702634787253,93.16943710131935,
sklearn,56,10224.0,balanced_subsample,log_loss,most_frequent,844.0,log2,252.0,93.0,93.0,
hyperopt,57,10486.0,balanced_subsample,entropy,0,908.0,,129.074876616869,59.03265151044696,41.8186314851421,
sklearn,57,10486.0,balanced_subsample,entropy,0,908.0,,129.0,41.0,41.0,
hyperopt,58,54168.0,,log_loss,-1,694.0,,,141.95539057302037,162.7307207751723,
sklearn,58,54168.0,,log_loss,-1,694.0,,,162.0,162.0,
hyperopt,59,10896.0,balanced_subsample,gini,most_frequent,,,170.48598214273792,113.57555411256463,393.8021464703267,
sklearn,59,10896.0,balanced_subsample,gini,most_frequent,,,170.0,393.0,393.0,
hyperopt,60,11832.0,balanced_subsample,log_loss,0,998.0,log2,246.2517446206217,238.36155763962068,317.9184666390899,
sklearn,60,11832.0,balanced_subsample,log_loss,0,998.0,log2,246.0,317.0,317.0,
hyperopt,61,100000.0,,entropy,most_frequent,792.0,,284.15112257021985,194.4105593179043,477.36773663214524,
sklearn,61,100000.0,,entropy,most_frequent,792.0,,284.0,477.0,477.0,
hyperopt,62,10344.0,balanced_subsample,log_loss,0,,,100.97423670164729,14.861016281119644,261.3889565631325,
sklearn,62,10344.0,balanced_subsample,log_loss,0,,,100.0,261.0,261.0,
hyperopt,63,12012.0,balanced_subsample,log_loss,-1,560.0,log2,,74.8700084762385,350.3223593606661,
sklearn,63,12012.0,balanced_subsample,log_loss,-1,560.0,log2,,350.0,350.0,
hyperopt,64,10268.0,balanced_subsample,entropy,most_frequent,936.0,,189.04927326746136,44.58651198419161,237.0915687422343,
sklearn,64,10268.0,balanced_subsample,entropy,most_frequent,936.0,,189.0,237.0,237.0,
hyperopt,65,37436.0,,gini,0,720.0,,291.53540880243537,160.35399166345647,17.16083621394779,
sklearn,65,37436.0,,gini,0,720.0,,291.0,17.0,17.0,
hyperopt,66,9416.0,balanced,log_loss,-10000,276.0,sqrt,420.6623616735698,276.8392325805282,64.39457744147909,smote
sklearn,66,9416.0,balanced,log_loss,-10000,276.0,sqrt,420.0,64.0,64.0,smote
hyperopt,67,9540.0,balanced_subsample,log_loss,-10000,290.0,sqrt,438.07140554452906,290.5789943353778,49.907171405026105,smote
sklearn,67,9540.0,balanced_subsample,log_loss,-10000,290.0,sqrt,438.0,49.0,49.0,smote
hyperopt,68,9892.0,balanced,log_loss,-10000,490.0,sqrt,462.29949872491693,277.40166964657976,77.16761409487563,
sklearn,68,9892.0,balanced,log_loss,-10000,490.0,sqrt,462.0,77.0,77.0,
hyperopt,69,9984.0,balanced,log_loss,-10000,348.0,sqrt,378.0426050974809,269.29029165253706,121.58698304829991,smote
sklearn,69,9984.0,balanced,log_loss,-10000,348.0,sqrt,378.0,121.0,121.0,smote
hyperopt,70,10298.0,balanced_subsample,log_loss,-10000,422.0,sqrt,404.8414113088267,329.56245130289705,201.94495568324064,smote
sklearn,70,10298.0,balanced_subsample,log_loss,-10000,422.0,sqrt,404.0,201.0,201.0,smote
hyperopt,71,10066.0,balanced,log_loss,-10000,278.0,log2,423.78997665800216,215.87007911408662,67.12963853113489,
sklearn,71,10066.0,balanced,log_loss,-10000,278.0,log2,423.0,67.0,67.0,
hyperopt,72,12870.0,,log_loss,0,958.0,,210.16713783853032,23.068204684142216,148.66903691239057,smote
sklearn,72,12870.0,,log_loss,0,958.0,,210.0,148.0,148.0,smote
hyperopt,73,9984.0,balanced_subsample,log_loss,most_frequent,868.0,sqrt,383.7525521488437,101.25811798770282,89.49759135736042,
sklearn,73,9984.0,balanced_subsample,log_loss,most_frequent,868.0,sqrt,383.0,89.0,89.0,
hyperopt,74,13794.0,balanced,log_loss,-10000,778.0,,303.285781651344,3.429894593019362,102.24212796009945,smote
sklearn,74,13794.0,balanced,log_loss,-10000,778.0,,303.0,102.0,102.0,smote
hyperopt,75,12996.0,balanced_subsample,log_loss,0,528.0,,327.5547935038245,51.51551055485964,19.263308860574668,
sklearn,75,12996.0,balanced_subsample,log_loss,0,528.0,,327.0,19.0,19.0,
hyperopt,76,10236.0,balanced,log_loss,-1,80.0,sqrt,144.01441706675706,73.53740260054774,175.49708113571884,smote
sklearn,76,10236.0,balanced,log_loss,-1,80.0,sqrt,144.0,175.0,175.0,smote
hyperopt,77,9434.0,balanced_subsample,entropy,most_frequent,808.0,,232.70984538012783,120.6991849927744,149.7450463093534,
sklearn,77,9434.0,balanced_subsample,entropy,most_frequent,808.0,,232.0,149.0,149.0,
hyperopt,78,10308.0,,log_loss,-10000,862.0,log2,,310.43399613464663,116.79572200619909,smote
sklearn,78,10308.0,,log_loss,-10000,862.0,log2,,116.0,116.0,smote
hyperopt,79,10384.0,balanced,log_loss,0,232.0,sqrt,488.38200749141834,186.0674174121705,217.59287282420044,
sklearn,79,10384.0,balanced,log_loss,0,232.0,sqrt,488.0,217.0,217.0,
hyperopt,80,13892.0,balanced_subsample,log_loss,most_frequent,,,162.6474123826161,365.94327716844236,37.40323274128741,smote
sklearn,80,13892.0,balanced_subsample,log_loss,most_frequent,,,162.0,37.0,37.0,smote
